ecoli,ph,do,flow,a_t,w_t,turb
2.078819183,7.83,7.36,0.3,30.7,19.2,0.906335042
3.397940009,NA,3.23,0.1,30.1,21.1,1.075546961
3.397940009,7.54,6.59,NA,23.7,18.1,1.025305865
2.588047497,8.49,9.4,0.9,23.2,23,0.648360011
1.779596491,8.52,11.43,1.2,29.1,23.7,0.598790507
2.762978491,8.23,8.02,0.35,28,24.7,0.713490543
1.170261715,8.05,11.98,0.3,19.8,8.5,0.494154594
1.804820679,8.48,9.65,0.2,23.9,22.3,0
1.773786445,8.55,9.84,0.3,20.6,17.7,0.053078443
1.537819095,7.33,3.2,0,31.2,26.6,0.77524626
2.41713941,7.5,4.56,0,32,23.1,0.559906625
1.474216264,7.6,6.8,0.05,23.7,22.8,1.559906625
2.688775655,7.59,7.29,0.2,14,15.9,0.854913022
2.812110841,6.83,7.69,0.1,6.2,6.8,0.673020907
2.562768543,7.93,7.73,0,14.8,17.4,0.960946196
2.222716471,8.14,8.07,0.8,19.2,16.9,1.173186268
2.613418945,8.22,7.62,0.3,19.2,20.7,1.161368002
2.223755454,8.01,8.09,0.1,24,20.3,0.460897843
1.812913357,8.14,8.76,0.2,29.2,20.2,0.64246452
2.021189299,8.15,8.79,0.1,22.4,19.3,1.204119983
3.238773502,7.66,8.5,0.3,24.3,20.8,1.354108439
1.465382851,8.51,10.49,0.5,17.9,15.7,0.305351369
2.937718444,8.19,8.76,0.2,17.9,18.7,0.413299764
2.138618434,8.33,8.37,0.6,40.5,24.7,0.336459734
2.861534411,8.15,9.03,1.1,21.7,17.2,1.184691431
2.35831564,8.56,8.38,0.5,21.9,22.7,1.292256071
3.080373917,7.76,8.02,0.65,22.4,21.2,1.683947131
0.612783857,8.35,12.54,0.5,15,5,0.439332694
1.709269961,8.74,9.72,0.4,27.3,21.1,0.521138084
NA,8.15,7.75,0.8,25.3,20,0.075546961
1.970346876,7.98,9.89,0.7,21.5,13.6,0.46834733
1.804820679,8.34,9.22,0.4,33,24.9,0.26245109
3.397940009,7.44,6.14,0.4,28.3,18.4,0.834420704
3.383743576,8.15,7.57,0.6,31.1,27.1,0.617000341
3.397940009,7.78,4.82,0.45,24.6,24.1,0.456366033
2.512550993,7.94,9.81,0.8,19.9,15.7,0.944975908
2.191171456,8.29,11.69,0.3,23.4,20.1,0.958085849
2.39707055,8.34,12,0.1,29.9,21.6,0.620136055
2.351603072,8.17,9.6,0.4,25.8,16.9,0.344392274
1.947433722,8.31,9.68,0.1,30.1,20.1,0.336459734
1.681241237,8.37,9.38,0.15,25,22,0.687528961
2.166430114,8.01,9.12,NA,20.8,14.7,0.378397901
3.298044843,7.88,7.19,0.05,20.8,17.4,0.941014244
2.235528447,7.54,5.98,0,19.5,18.8,1.527629901
2.991403303,8.04,7.5,NA,14.3,16.2,0.740362689
1.846955325,7.88,6.69,0.3,18.4,20.3,1.371067862
2.562768543,7.99,6.59,0,20.4,20.3,2.164352856
2.911902996,7.65,6.9,0.3,18.5,16.7,1.428134794
2.158060794,8.13,10.02,0.4,32.6,27.3,1.008600172
2.613418945,7.98,4.7,0.05,25.8,25,1.539076099
2.283301229,8.01,9.5,0.8,12.5,13.1,0.541579244
NA,7.59,7.04,0.9,28.6,20.9,1.416640507
2.861534411,8.23,8.82,0.9,24.3,16.4,0.745855195
0.716003344,8.04,7.36,1,24.3,19.3,0.250420002
2.29136885,8.26,8.77,0.8,30.1,18.3,0.212187604
2.688775655,8.17,8.04,0.3,21.6,20.3,0.352182518
1.781755375,7.59,9.12,0.2,15.5,13.2,0.661812686
2.812110841,8.01,9.12,0.05,27.4,23,0.854913022
2.688775655,7.79,6.97,0.05,32,23.2,0.685741739
2.798926739,7.79,7.06,NA,15,14.4,0.807535028
3.397940009,7.8,3.36,0,20.3,18.4,1.383815366
3.298044843,7.11,4.84,0,21.9,20.2,1.146128036
2.787531316,7.29,8.83,0.05,5.5,6.4,1.033423755
2.487986331,7.85,8.49,NA,24.4,18,0.591064607
3.238773502,7.96,8.13,NA,20.6,16.4,1.178976947
2.138618434,8.03,8.04,0.05,31,27.2,0.673941999
2.314709693,8.33,8.17,0.1,25.1,22.3,0.980003372
2.222716471,8.1,8.41,0.5,25.6,20.6,0.764176132
1.532754379,8.54,9.31,0.6,27.9,20.1,0.895974732
2.106530854,8.15,9.72,0.7,11.8,13,0.40654018
